file_id,file_path,category,created_date,full_text
1,docs/python_basics.txt,programming,2024-01-15,"Python is a high-level programming language known for its readability and versatility. It supports multiple programming paradigms including procedural, object-oriented, and functional programming."
2,docs/install_guide.txt,setup,2024-01-16,"To install Python on your system, download the installer from python.org. On Linux you can use apt-get install python3. Always verify the installation with python --version."
3,docs/list_comprehension.txt,programming,2024-01-17,"List comprehensions in Python provide a concise way to create lists. Syntax: [expr for item in iterable if condition]. They are faster than equivalent for-loops for building lists."
4,docs/machine_learning_intro.txt,ml,2024-01-18,"Machine learning is a subset of artificial intelligence that enables systems to learn from data. Common types include supervised learning, unsupervised learning, and reinforcement learning."
5,docs/neural_networks.txt,ml,2024-01-19,"Neural networks consist of layers of interconnected nodes. Each node applies a weighted sum and activation function. Deep learning uses networks with many hidden layers."
6,docs/sql_basics.txt,database,2024-01-20,"SQL stands for Structured Query Language. Use SELECT to query data, INSERT to add rows, UPDATE to modify, and DELETE to remove. Always use WHERE to filter when updating or deleting."
7,docs/indexing_db.txt,database,2024-01-21,"Database indexes speed up queries by creating a data structure that allows fast lookup. Create indexes on columns used in WHERE and JOIN. Too many indexes can slow down writes."
8,docs/rest_api.txt,web,2024-01-22,"REST APIs use HTTP methods: GET for reading, POST for creating, PUT for full updates, PATCH for partial updates, DELETE for removing resources. Use proper status codes like 200 and 404."
9,docs/authentication.txt,web,2024-01-23,"API authentication can use API keys, OAuth 2.0, or JWT tokens. Never send secrets in URL query params. Prefer Bearer tokens in the Authorization header."
10,docs/docker_intro.txt,devops,2024-01-24,"Docker containers package an application and its dependencies. Use docker build to create images and docker run to start containers. Dockerfile defines the image build steps."
11,docs/git_workflow.txt,devops,2024-01-25,"Git workflow: create branch, make commits, push to remote. Use git pull before pushing. Merge or rebase to integrate changes. Resolve conflicts carefully."
12,docs/pandas_tutorial.txt,programming,2024-01-26,"Pandas provides DataFrame for tabular data. Read CSV with pd.read_csv. Filter with boolean indexing. Group by with groupby(). Merge tables with merge() or join()."
13,docs/numpy_arrays.txt,programming,2024-01-27,"NumPy arrays are fast fixed-type arrays. Create with np.array() or np.zeros(). Vectorized operations avoid Python loops. Use reshape and broadcasting for multi-dimensional data."
14,docs/linear_regression.txt,ml,2024-01-28,"Linear regression models the relationship between variables with a linear equation. Minimize mean squared error. Use gradient descent or closed-form solution. Check residuals for assumptions."
15,docs/classification.txt,ml,2024-01-29,"Classification predicts discrete labels. Logistic regression, decision trees, and SVMs are common. Evaluate with accuracy, precision, recall, and F1. Handle imbalanced classes with sampling or weights."
16,docs/vector_embeddings.txt,ml,2024-01-30,"Embeddings map text or items to dense vectors. Similar items have similar vectors. Used for search, recommendations, and RAG. Train with contrastive loss or use pre-trained models."
17,docs/faiss_search.txt,ml,2024-01-31,"FAISS is a library for efficient similarity search. Build an index from vectors, then search for k nearest neighbors. Supports GPU and various index types like IVF and HNSW."
